t,x,y,z
0.118995,753.902954,1730.029907,438.904999
0.129085,756.025024,1677.530029,434.421997
0.139014,755.653992,1612.77002,433.634003
0.149061,756.842041,1537.189941,432.421997
0.158996,754.212952,1530.25,412.464996
0.169085,753.512024,1457.180054,411.631989
0.179043,751.911987,1426.890015,391.057983
0.189071,752.166992,1396.359985,372.811005
0.199009,754.665039,1316.359985,372.166992
0.209074,752.796021,1275.079956,358.249023
0.219013,751.384033,1259.099976,332.722015
0.238039,750.392029,1159.219971,301.328003
0.258102,747.816956,1074.98999,263.148987
0.268014,748.606995,1018.450012,248.384003
0.278008,746.321045,973.440002,230.046005
0.288012,747.01001,920.075989,211.931
0.298082,744.333984,867.877014,192.360992
0.308081,745.377991,836.549988,163.093002
0.318078,743.34198,806.112,133.67601
0.328015,743.463989,737.877014,123.272003
0.338007,744.365967,708.639954,90.858101
0.348122,741.598022,661.536987,65.325203
0.358083,744.594971,598.756042,48.2202
0.368009,745.028992,574.619019,47.429699
0.377057,744.848999,555.89801,69.208504
0.388015,744.583008,537.950989,86.864502
0.397095,743.901001,504.374023,111.883995
0.407029,743.219971,470.938995,138.403
0.417012,743.197998,462.312988,149.397003
0.427038,743.403015,414.653015,180.619995
0.43707,742.664001,383.77301,201.925995
0.447018,742.343994,368.425018,214.130005
0.457097,741.545959,338.919006,231.275009
0.467016,744.744995,303.309998,252.815994
0.477016,742.723999,282.000977,264.38501
0.487012,743.151001,254.413986,277.311005
0.497103,744.570007,214.411011,297.553009
0.507088,744.122986,201.766998,300.309998
0.517085,743.170959,175.75499,310.968994
0.527043,744.195007,131.901993,328.498993
0.536071,743.287964,107.483002,336.955017
0.546015,741.280945,89.629501,339.361023
0.556079,742.757996,66.112801,343.113983
0.566027,741.828003,43.2103,346.602997
0.576067,742.936035,9.25579,355.574005
0.586018,741.828003,-13.124001,356.243988
0.596021,740.919006,-29.563,352.688019
0.606092,741.771973,-67.052795,361.052002
0.616102,743.737976,-98.823303,362.699982
0.626072,742.093018,-103.311005,349.186005
,,,
0,851.642029,2746.840088,371.23999
0.01901,841.251038,2669.859863,366.311005
0.028984,835.838013,2587.72998,377.820984
0.039026,831.210022,2530.939941,378.867004
0.048971,826.679016,2475.179932,379.936005
0.058963,822.302002,2421.76001,378.338013
0.078976,818.911011,2280.959961,382.023987
0.088967,816.119019,2213.689941,382.572998
0.099003,808.911011,2204.269775,364.383026
0.109041,810.848999,2086.379883,378.632019
0.118981,805.184998,2060.209961,363.162018
0.128964,801.232971,2019.399902,349.496979
0.138998,797.178955,1978.47998,336.246002
0.149051,793.298035,1871.420044,348.178009
0.157917,790.914001,1818.070068,337.335999
0.167974,788.575012,1765.800049,326.705994
0.17802,781.333984,1746.530029,300.505005
0.188,780.442017,1681.52002,292.522003
0.198002,775.442993,1604.820068,286.778015
0.207978,773.253967,1558.040039,272.507019
0.217976,772.485046,1500.570068,256.082001
0.238033,763.562012,1388.859985,224.438004
0.247972,761.369995,1348.150024,202.401993
0.257989,757.661011,1320.790039,174.018997
0.298024,744.437988,1135.98999,77.361198
0.327022,734.973022,973.211975,30.3671
0.336966,731.616028,960.960999,43.493698
0.346969,730.710022,906.653015,76.885498
0.356966,725.750977,895.133972,87.555199
0.36705,724.632996,823.661011,127.864006
0.377024,721.075989,803.134033,140.416
0.386968,717.468018,783.362,148.959
0.396975,716.876953,745.145996,169.021988
0.407045,716.299988,707.835022,188.610001
0.416975,710.018982,698.810974,190.643997
0.426979,709.052979,645.402039,213.576996
0.437,705.572021,628.007996,217.590012
0.465981,700.695984,512.187988,260.688995
0.475984,697.078003,488.800995,262.501007
0.485972,696.164001,442.519989,276.112
0.496006,695.529968,412.858002,282.565002
0.506029,689.324036,398.480011,277.48999
0.515973,688.429016,354.944,287.209991
0.525993,687.76001,327.552002,288.227997
0.546,683.34198,259.380981,293.931976
0.555982,679.80304,253.771988,276.024994
0.566006,678.93396,214.449005,280.35199
0.575988,676.616028,182.557007,276.815002
0.58599,675.680969,145.042007,277.869995
0.595979,672.093994,120.350998,269.947998
0.606066,671.108032,90.263702,264.950012
0.614989,670.118958,48.966999,265.935974
0.62501,665.169006,43.503601,241.258987
0.635063,664.015991,8.69919,235.104996
0.644985,663.122009,-30.852699,236.435989
0.655005,659.369019,-53.338699,219.915009
0.665046,658.156982,-86.404305,211.067001
0.67506,654.554993,-107.867004,194.391998
,,,
0,860.660034,2701.679932,420.473999
0.010001,852.572021,2618.360107,435.838989
0.020074,849.254028,2537.02002,450.602997
0.030002,842.234009,2479.320068,457.334991
0.040052,836.971985,2465.969971,446.100006
0.050077,833.96698,2393.26001,448.315002
0.060077,828.098022,2359.800049,444.261017
0.070073,823.927979,2250.77002,460.035004
0.080026,818.281006,2221.98999,448.581024
0.090017,814.481018,2119.73999,461.412994
0.10001,805.786011,2057.040039,460.89801
0.109998,801.774048,2014.219971,451.613007
0.120028,795.263,1955.539917,446.585999
0.130072,791.454041,1915.140015,435.259003
0.139009,786.652039,1842.669922,434.680023
0.149045,783.580994,1757.949951,437.868011
0.159088,776.885986,1752.419922,412.281006
